0.20660	1.33600	2.11300
0.21010	1.30100	2.18300
0.21380	1.29900	2.28000
0.21750	1.32500	2.38300
0.22140	1.37500	2.48400
0.22540	1.42600	2.56200
0.22960	1.45500	2.65200
0.23390	1.48200	2.80200
0.23840	1.55800	3.01600
0.24310	1.74500	3.29100
0.24800	2.13100	3.49500
0.25300	2.54600	3.51400
0.25830	2.98400	3.51700
0.26380	3.56000	3.22300
0.26950	3.80000	2.63700
0.27550	3.69700	2.18600
0.28180	3.52700	1.94800
0.28830	3.38400	1.82600
0.29520	3.27500	1.76200
0.30240	3.19600	1.73500
0.31000	3.14100	1.73000
0.31790	3.10800	1.74400
0.32630	3.09500	1.77300
0.33510	3.10300	1.81600
0.34440	3.13300	1.87200
0.35420	3.19300	1.94800
0.36470	3.29900	2.06000
0.37570	3.57600	2.20900
0.38750	3.97600	2.14300
0.39990	4.41500	1.73500
0.41330	4.39500	1.24700
0.42750	4.25600	0.96400
0.44280	4.12100	0.78600
0.45920	4.00400	0.66700
0.47690	3.90300	0.57900
0.49590	3.81800	0.51100
0.51660	3.74500	0.45700
0.53910	3.68200	0.41600
0.56360	3.62900	0.38000
0.59040	3.58500	0.34700
0.61990	3.54900	0.31700
0.65250	3.51700	0.29300
0.68880	3.49200	0.27000
0.72930	3.47600	0.24200
0.77490	3.46700	0.21800
0.82660	3.45600	0.20300
